idx,Skewness_R,Kurtosis_R,Variance_R,RMS_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
136.0,0.265711795873948,8.819479897001381,13.9665493789987,3.74061085279831,55.0,54.01,341.0,0.41,2.67638836894204,2.3731207602400497,2.3976843638277097,0.0,6.0
137.0,0.234466440548348,9.388983282455287,9.107024357439393,3.0180754171388,55.0,54.46,250.0,0.17,1.4286374192322,1.4339145996353302,1.4444637894000398,0.0,2.0
159.0,0.188736557914267,9.80055031097768,9.87192979458031,3.14314208951976,57.5,56.78,235.0,0.15,1.4821472860421598,1.31144368448559,1.3734056845885,0.0,4.0
202.0,-0.0283826967268903,6.3764465997465,12.2412511271927,3.50125705992255,60.0,58.92,374.0,0.51,3.00261772020941,2.97257743432039,3.08855247050894,0.0,1.0
11.0,0.512392253445174,8.26588988143872,15.525909481798198,3.94205473837691,45.0,43.99,353.0,0.47,2.5645342628194103,2.57287788950592,2.63688393150842,0.0,2.0
4.0,0.581555039761026,7.96928545202815,18.8515068242002,4.3497105305439705,45.0,43.78,344.0,0.42,2.59931538326482,2.35487011055382,2.54227812186532,0.0,4.0
123.0,0.315540235330176,8.26157509231869,16.5812870374319,4.0733513142949,55.0,54.0,327.0,0.32,2.29922214389874,2.05969121204084,2.22966735342004,0.0,4.0
169.0,0.397744204577771,7.84686893749782,18.2423298164864,4.27245490827152,57.5,56.5,367.0,0.47,2.8391206835488703,2.810254051471,2.92166787403754,0.0,1.0
101.0,0.42698072896852,8.39330380288614,16.1065560884319,4.01331966936646,52.5,51.53,315.0,0.3,2.16600166079165,1.93544043851934,2.09169373616106,0.0,4.0
182.0,0.3977440896402609,9.947830971371609,13.0438678847846,3.61161208471237,60.0,59.12,353.0,0.41,2.56586056880852,2.5392260475430803,2.631364212782509,0.0,2.0
